concurrency,round,size_bytes,mean_rtt_ms,min_ue_rtt_ms,max_ue_rtt_ms,p95_ue_rtt_ms,mean_mdev_ms,mean_loss_pct
100,1,1400,4.395,3.948,4.701,4.613,1.658,0.015
100,2,1400,4.567,4.205,4.816,4.739,1.232,0.012
100,3,1400,4.476,3.786,4.685,4.633,1.197,0.022
100,4,1400,4.027,3.58,4.293,4.251,1.367,0.018
100,5,1400,4.236,3.819,4.537,4.426,1.258,0.015
