concurrency,round,size_bytes,mean_rtt_ms,min_ue_rtt_ms,max_ue_rtt_ms,p95_ue_rtt_ms,mean_mdev_ms,mean_loss_pct
1,1,1400,2.025,2.025,2.025,2.025,0.131,0.0
1,2,1400,2.256,2.256,2.256,2.256,0.117,0.0
1,3,1400,2.1,2.1,2.1,2.1,0.117,0.0
1,4,1400,1.832,1.832,1.832,1.832,0.134,0.0
1,5,1400,1.818,1.818,1.818,1.818,0.113,0.0
