concurrency,round,size_bytes,mean_rtt_ms,min_ue_rtt_ms,max_ue_rtt_ms,p95_ue_rtt_ms,mean_mdev_ms,mean_loss_pct
200,1,1400,8.618,8.31,8.868,8.771,2.746,1.421
200,2,1400,7.673,7.332,7.983,7.889,2.416,0.176
200,3,1400,7.963,7.59,8.369,8.164,2.149,1.379
200,4,1400,8.011,7.713,8.296,8.202,2.285,0.403
,,,,,,,,
