ts,sgx_local_eno12399np0_rx_kbps,sgx_local_eno12399np0_tx_kbps,sgx_local_ogstun_rx_kbps,sgx_local_ogstun_tx_kbps,tdx_amf_enp0s2_rx_kbps,tdx_amf_enp0s2_tx_kbps,tdx_amf_vmexit_halt_rate,tdx_amf_vmexit_hypercall_rate,tdx_amf_vmexit_io_rate,tdx_amf_vmexit_irq_rate,tdx_amf_vmexit_rate
1775140349.689,59.0,38.7,0.0,0.0,15.4,3.2,1870.9,0.0,0.0,261.3,4847.1
1775140351.31,16.1,6.7,0.0,0.0,15.5,3.0,1742.4,0.0,0.0,258.2,4583.9
1775140352.895,26.9,7.3,0.0,0.0,18.7,3.5,1797.7,0.0,0.0,306.1,4776.6
1775140354.5,20.5,9.5,0.0,0.0,44.7,43.3,2879.3,0.0,0.0,452.0,7834.7
1775140356.096,261.6,103.0,0.0,0.0,137.2,147.9,3810.7,0.0,0.0,605.9,10513.0
1775140357.661,224.7,107.2,0.0,0.0,58.3,43.3,3163.5,0.0,0.0,459.1,8423.7
1775140359.252,139.2,97.7,0.0,0.0,142.8,135.7,3844.4,0.0,0.0,548.5,10077.4
1775140360.855,152.8,98.7,0.0,0.0,58.9,40.1,2018.2,0.0,0.0,308.0,5395.1
1775140362.432,107.7,70.3,0.0,0.0,18.1,3.3,1773.1,0.0,0.0,272.4,4566.8
1775140364.031,26.6,7.5,0.0,0.0,15.3,3.3,1922.9,0.0,0.0,280.7,5046.6
1775140365.632,13.6,6.2,0.0,0.0,12.0,3.4,1862.6,0.0,0.0,292.1,4717.0
1775140367.212,176.9,41.0,0.0,0.0,58.8,54.5,3217.1,0.0,0.0,444.3,8000.0
1775140368.778,59.5,37.6,0.0,0.0,130.8,141.9,3811.0,0.0,0.0,606.3,13094.8
1775140370.38,289.8,147.1,0.0,0.0,67.2,52.2,3139.9,0.0,0.0,468.9,7964.9
1775140372.013,55.4,46.4,0.0,0.0,145.0,141.1,3864.1,0.0,0.0,532.2,9297.7
1775140373.59,288.8,200.3,0.0,0.0,38.7,18.0,1794.5,0.0,0.0,289.7,4671.8
1775140375.181,26.2,10.1,0.0,0.0,16.8,3.3,1867.0,0.0,0.0,263.8,4769.5
1775140376.777,32.2,12.4,0.0,0.0,17.7,3.3,1712.7,0.0,0.0,269.2,4459.4
1775140378.363,23.6,8.5,0.0,0.0,22.9,15.4,2056.9,0.0,0.0,344.1,5355.8
1775140379.95,143.3,23.9,0.0,0.0,91.8,74.2,5732.4,0.6,1.1,1101.9,16618.8
1775140381.942,130.7,85.1,0.0,0.0,92.1,101.8,2568.9,0.0,0.0,403.0,6596.8
1775140383.547,357.1,191.0,0.0,0.0,120.0,100.4,3717.5,0.0,0.0,560.2,9116.8
1775140385.147,158.3,102.5,0.0,0.0,101.3,94.5,2671.6,0.0,0.0,386.8,6736.8
1775140386.733,70.5,46.8,0.0,0.0,13.8,3.3,1833.9,0.0,0.0,290.9,8752.1
1775140388.32,21.6,6.8,0.0,0.0,15.9,3.1,1610.4,0.0,0.0,259.8,4257.2
1775140389.913,17.0,7.2,0.0,0.0,14.1,3.3,1616.0,0.0,0.0,266.3,4276.0
1775140391.507,14.2,9.1,0.0,0.0,41.9,39.5,3024.3,0.0,0.0,462.4,12958.6
1775140393.123,234.8,85.4,0.0,0.0,117.7,128.9,3909.3,0.6,0.0,874.1,12402.7
1775140394.671,232.4,110.8,0.0,0.0,67.0,57.8,2850.8,0.0,0.0,434.7,7324.6
1775140396.27,138.4,102.1,0.0,0.0,129.9,120.1,3679.3,0.0,0.0,536.8,8934.6
1775140397.836,248.1,167.1,0.0,0.0,73.9,65.2,2159.6,0.0,0.0,301.5,5768.6
1775140399.408,17.1,8.1,0.0,0.0,17.1,3.1,1696.2,0.0,0.0,261.0,4483.0
1775140401.001,28.8,7.3,0.0,0.0,19.3,3.3,1989.9,0.6,0.0,277.4,5058.5
1775140402.588,16.0,6.2,0.0,0.0,17.8,3.4,1928.6,0.0,0.0,294.1,5052.6
