ts,sgx_local_eno12399np0_rx_kbps,sgx_local_eno12399np0_tx_kbps,sgx_local_ogstun_rx_kbps,sgx_local_ogstun_tx_kbps,tdx_amf_enp0s2_rx_kbps,tdx_amf_enp0s2_tx_kbps,tdx_amf_vmexit_halt_rate,tdx_amf_vmexit_hypercall_rate,tdx_amf_vmexit_io_rate,tdx_amf_vmexit_irq_rate,tdx_amf_vmexit_rate,tdx_upf_enp0s2_rx_kbps,tdx_upf_enp0s2_tx_kbps,tdx_upf_ogstun_rx_kbps,tdx_upf_ogstun_tx_kbps,tdx_upf_vmexit_halt_rate,tdx_upf_vmexit_hypercall_rate,tdx_upf_vmexit_io_rate,tdx_upf_vmexit_irq_rate,tdx_upf_vmexit_rate
1775106844.166,125.6,86.0,0.0,0.0,31.4,13.6,1723.4,0.0,0.0,460.5,4942.3,24.4,4.9,0.0,0.0,1519.2,0.0,0.0,448.3,4893.6
1775106846.454,69.6,46.2,0.0,0.0,15.5,2.5,1379.6,0.0,0.0,253.3,3754.1,15.5,2.7,0.0,0.0,1350.5,0.0,0.0,279.6,3532.9
1775106848.297,16.2,11.1,0.0,0.0,19.0,3.0,1628.0,0.0,0.0,306.7,4463.8,18.9,3.1,0.0,0.0,1405.1,0.0,0.0,300.6,3917.9
1775106850.145,175.8,320.5,0.0,0.0,62.3,61.7,3406.0,0.0,0.0,625.3,10700.6,15.6,8.8,0.0,0.0,1383.7,0.0,0.0,249.3,4090.1
1775106851.975,223.6,125.9,0.0,0.0,113.6,126.0,3230.5,0.0,0.0,661.3,9623.7,22.8,8.5,0.0,0.0,1672.5,0.0,0.0,343.0,4490.1
1775106853.838,140.4,94.0,0.0,0.0,100.8,67.1,3465.8,0.0,0.0,660.1,9487.5,38.0,7.7,0.0,0.0,1614.3,0.0,0.0,304.6,4934.7
1775106855.697,208.8,159.4,0.0,0.0,96.7,95.1,2475.2,0.0,0.0,516.7,9075.8,33.0,8.0,0.0,0.0,1544.1,0.0,0.0,345.3,4257.9
1775106857.565,23.6,16.4,0.0,0.0,13.2,2.8,1567.9,0.0,0.0,309.7,4204.1,13.2,3.3,0.0,0.0,1222.1,0.0,0.0,227.9,3162.5
1775106859.424,31.5,18.5,0.0,0.0,12.0,2.8,1467.6,0.0,0.0,297.9,3972.3,12.0,3.1,0.0,0.0,1375.5,0.0,0.0,512.2,4834.2
1775106861.299,33.7,31.0,0.0,0.0,18.6,15.2,1893.3,0.0,0.0,370.1,5139.5,15.4,8.0,0.0,0.0,1515.3,0.5,0.0,311.9,4266.1
1775106863.134,175.1,51.5,0.0,0.0,89.5,78.3,3547.1,0.0,0.0,702.0,9712.4,16.2,4.1,0.0,0.0,1488.3,0.0,0.0,268.7,4125.4
1775106864.999,241.2,128.7,0.0,0.0,85.7,97.0,2904.7,0.0,0.0,654.1,8173.0,20.9,8.7,0.0,0.0,1425.3,0.0,0.0,281.5,4493.6
1775106866.841,42.5,34.2,0.0,0.0,136.8,128.5,3825.5,0.0,0.0,789.8,11708.2,37.4,9.0,0.0,0.0,1577.1,0.0,0.0,358.3,4422.5
1775106868.693,220.2,165.7,0.0,0.0,49.1,33.1,1912.7,0.0,0.0,361.9,5198.2,26.4,6.9,0.0,0.0,1299.0,0.0,0.0,227.7,3335.1
1775106870.541,49.9,38.9,0.0,0.0,13.0,3.1,1611.5,0.0,0.0,322.8,5824.7,12.8,3.1,0.0,0.0,1399.2,0.0,0.0,241.7,4409.8
1775106872.4,24.9,12.2,0.0,0.0,10.2,2.8,1447.0,0.0,0.0,305.0,3932.1,10.2,3.1,0.0,0.0,1436.1,0.0,0.0,307.9,3869.8
1775106874.253,22.5,13.8,0.0,0.0,40.9,35.5,2659.3,0.0,0.0,541.2,7342.7,19.3,7.6,0.0,0.0,1496.1,0.0,0.0,268.5,4066.6
1775106876.135,222.5,89.1,0.0,0.0,123.3,130.1,3345.0,0.5,0.0,677.5,8653.1,23.7,10.2,0.0,0.0,1645.0,0.0,0.0,364.3,5151.9
1775106877.973,177.2,77.5,0.0,0.0,66.2,50.5,3294.2,0.0,0.0,663.3,8665.5,25.3,6.7,0.0,0.0,1345.6,0.0,0.0,266.2,3545.4
1775106879.836,110.4,86.3,0.0,0.0,141.7,132.9,3236.1,0.0,0.0,635.8,8393.8,38.7,8.6,0.0,0.0,1644.4,0.0,0.0,274.8,4229.6
1775106881.692,193.1,142.4,0.0,0.0,16.7,3.4,1617.7,0.0,0.0,359.7,5739.6,16.6,3.2,0.0,0.0,1405.8,0.5,0.0,309.2,4547.9
1775106883.538,30.2,12.1,0.0,0.0,16.6,2.9,1478.4,0.0,0.0,306.4,4455.3,16.6,3.1,0.0,0.0,1341.1,0.0,0.0,234.1,3454.8
1775106885.381,24.6,12.0,0.0,0.0,13.9,3.0,1570.0,0.0,0.0,314.6,4527.5,13.8,3.0,0.0,0.0,1510.5,0.0,0.0,269.4,4017.0
1775106887.236,9.0,4.1,0.0,0.0,60.6,56.7,3110.5,0.0,0.0,619.2,10993.2,23.0,8.9,0.0,0.0,1514.0,0.5,0.0,319.0,4489.1
1775106889.106,331.0,132.0,0.0,0.0,113.2,119.4,3601.8,0.0,0.0,748.9,9779.7,21.4,8.0,0.0,0.0,1434.9,0.0,0.0,254.2,3876.9
1775106890.941,149.5,89.2,0.0,0.0,97.3,75.1,3354.6,0.0,0.0,704.2,8861.4,30.5,8.3,0.0,0.0,1541.1,0.0,0.0,291.3,4071.5
1775106892.806,210.2,164.8,0.0,0.0,101.6,97.3,2537.4,0.0,0.0,542.5,6795.8,33.2,8.0,0.0,0.0,1607.3,0.5,0.0,356.8,5180.4
1775106894.671,35.5,18.8,0.0,0.0,20.7,2.9,1542.4,0.0,0.0,322.6,4258.8,21.2,3.1,0.0,0.0,1395.3,0.0,0.0,240.7,3413.9
1775106896.535,24.6,11.3,0.0,0.0,23.5,2.8,1681.4,0.0,0.0,330.5,8357.1,24.0,3.2,0.0,0.0,1470.2,0.0,0.0,303.1,3857.7
1775106898.412,28.9,12.3,0.0,0.0,23.2,17.1,1935.3,0.0,0.0,393.3,5207.6,18.6,8.3,0.0,0.0,1744.4,0.0,0.0,320.0,5181.9
1775106900.254,186.6,53.6,0.0,0.0,91.9,77.5,3597.5,0.0,0.0,735.4,9231.2,19.3,4.1,0.0,0.0,1745.1,0.0,0.0,279.2,4594.1
1775106902.112,255.0,135.4,0.0,0.0,92.4,102.4,2884.5,0.0,0.0,651.0,7785.5,22.1,8.0,0.0,0.0,1386.8,0.5,0.0,307.0,3689.2
1775106903.961,105.8,93.9,0.0,0.0,116.3,101.9,3639.9,0.0,0.0,727.1,9320.2,33.8,9.2,0.0,0.0,1778.3,0.0,0.0,314.2,5660.1
1775106905.821,167.8,125.3,0.0,0.0,55.0,47.4,2001.1,0.0,0.0,584.4,5688.3,24.7,6.0,0.0,0.0,1484.4,0.0,0.0,435.2,4049.1
1775106908.11,23.6,11.0,0.0,0.0,17.1,2.5,1460.8,0.0,0.0,284.7,3942.6,17.1,2.8,0.0,0.0,1321.1,0.0,0.0,266.8,3435.9
1775106909.95,34.8,16.5,0.0,0.0,20.8,3.0,1647.8,0.0,0.0,333.7,4472.5,20.9,3.1,0.0,0.0,1455.0,0.0,0.0,254.2,3657.4
