concurrency,round,size_bytes,mean_rtt_ms,min_ue_rtt_ms,max_ue_rtt_ms,p95_ue_rtt_ms,mean_mdev_ms,mean_loss_pct
100,1,1400,2.492,2.278,2.739,2.616,0.878,0.0
100,2,1400,3.971,3.823,4.065,4.043,0.799,1.754
100,3,1400,2.757,2.326,3.026,2.991,0.929,0.0
100,4,1400,3.771,3.689,3.845,3.827,0.722,0.0
100,5,1400,3.282,3.173,3.386,3.365,0.725,0.0
