concurrency,round,size_bytes,mean_rtt_ms,min_ue_rtt_ms,max_ue_rtt_ms,p95_ue_rtt_ms,mean_mdev_ms,mean_loss_pct
,,,,,,,,
199,2,1400,5.689,5.231,6.012,5.905,2.174,2.027
199,3,1400,6.978,6.511,7.452,7.278,2.227,2.258
199,4,1400,5.851,5.51,6.246,6.099,2.269,2.998
199,5,1400,5.363,5.065,5.771,5.594,2.163,3.032
